feature,gbc,rf,xgb,mean
1,0.0,0.02083408662012446,0.0,0.006944695540041487
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.02083408662012446,0.0,0.006944695540041487
5,0.0,0.02083408662012446,0.0,0.006944695540041487
6,0.0,0.02083408662012446,0.0,0.006944695540041487
7,0.0,0.02083408662012446,0.0,0.006944695540041487
8,0.0,0.02083408662012446,0.0023342419881373644,0.007722776202753942
9,0.0,0.02083408662012446,0.0,0.006944695540041487
10,0.0,0.02083408662012446,0.0,0.006944695540041487
11,0.0,0.02083408662012446,0.0,0.006944695540041487
12,0.0,0.02083408662012446,0.0,0.006944695540041487
13,0.0,0.02083408662012446,0.0,0.006944695540041487
14,0.0,0.02083408662012446,0.0,0.006944695540041487
15,0.0,0.02083408662012446,0.0,0.006944695540041487
16,0.0,0.02083408662012446,0.0,0.006944695540041487
17,0.0,0.02083408662012446,0.0,0.006944695540041487
18,0.0,0.0,0.0,0.0
19,0.0,0.02083408662012446,0.0,0.006944695540041487
20,0.0,0.02083408662012446,0.0,0.006944695540041487
21,0.0,0.02083408662012446,0.0,0.006944695540041487
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.02083408662012446,0.0,0.006944695540041487
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.02083408662012446,0.0,0.006944695540041487
29,0.0,0.02083408662012446,0.0,0.006944695540041487
30,0.0,0.02083408662012446,0.0,0.006944695540041487
31,0.0,0.02083408662012446,0.0,0.006944695540041487
32,0.0,0.02083408662012446,0.0,0.006944695540041487
33,0.0,0.02083408662012446,0.0,0.006944695540041487
34,0.0,0.02083408662012446,0.0,0.006944695540041487
35,0.0,0.02083408662012446,0.0,0.006944695540041487
36,0.0,0.02083408662012446,0.0,0.006944695540041487
37,0.0,0.02083408662012446,0.0,0.006944695540041487
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.02083408662012446,0.0,0.006944695540041487
41,0.0,0.02083408662012446,0.0,0.006944695540041487
42,0.0,0.02083408662012446,0.0,0.006944695540041487
43,0.0,0.0,0.0,0.0
44,0.0,0.02083408662012446,0.0,0.006944695540041487
45,0.0,0.02083408662012446,0.0,0.006944695540041487
46,0.0,0.02083408662012446,0.0,0.006944695540041487
47,0.0,0.02083408662012446,0.003636071691289544,0.008156719437138001
